title,link,category,website,published
Son Heung-min’s father promises change after bullying accusations at academy,https://www.theguardian.com/football/article/2024/jul/17/son-heung-min-father-bullying-accusations-south-korea,Football,The Guardian,2024-07-17 19:24:57+0000
Lloris says Fernández video is ‘attack on French people’ as Argentinian official sacked,https://www.theguardian.com/football/article/2024/jul/18/hugo-lloris-enzo-fernandez-video-france-argentina-minister-sacked-julio-garro,Football,The Guardian,2024-07-18 15:16:10+0000
"‘Honestly, I loved it’: our writers on their favourite Premier League season",https://www.theguardian.com/football/article/2024/aug/11/honestly-i-loved-it-our-writers-on-their-favourite-premier-league-season,Football,The Guardian,2024-08-11 12:00:11+0000
Sunderland’s anti-riot stance shows how football clubs and cities are proudly united | Jonathan Wilson,https://www.theguardian.com/football/article/2024/aug/10/sunderlands-anti-riot-stance-football-clubs-cities-proudly-united,Football,The Guardian,2024-08-10 19:00:00+0000
Ruud van Nistelrooy: ‘I loved the way Sir Alex asked us to play at United’,https://www.theguardian.com/football/article/2024/aug/03/ruud-van-nistelrooy-alex-ferguson-manchester-united-ten-hag-hiddink-bobby-robson-pellegrini,Football,The Guardian,2024-08-03 07:00:12+0000
"Football Daily | Transfers, done and undone, are all we’ve got to offer for now",https://www.theguardian.com/football/article/2024/aug/13/football-daily-email-transfers-news,Football,The Guardian,2024-08-13 14:45:15+0000
Manchester City lift the Community Shield and the EFL kicks off: Football Weekly - podcast,https://www.theguardian.com/football/audio/2024/aug/12/manchester-city-lift-community-shield-and-the-efl-kicks-off-football-weekly-podcast,Football,The Guardian,2024-08-12 10:59:08+0000
"Football Daily | Farewell Pepe, the man who would stop at nothing to keep a clean sheet",https://www.theguardian.com/football/article/2024/aug/09/football-daily-email-farewell-pepe,Football,The Guardian,2024-08-09 13:48:34+0000
David Squires on … things from the Olympics that can help improve football,https://www.theguardian.com/football/picture/2024/aug/06/david-squires-on-things-from-the-olympics-that-can-help-improve-football,Football,The Guardian,2024-08-06 10:26:56+0000
‘We were all crying’: how the US deaf women’s national team made history,https://www.theguardian.com/football/article/2024/jul/31/us-deaf-womens-national-team-history-televised-game-moving-the-goalposts,Football,The Guardian,2024-07-31 10:00:21+0000
Which football squad has had most future Premier League managers? | The Knowledge,https://www.theguardian.com/football/article/2024/jul/31/which-football-squad-had-most-future-premier-league-managers-the-knowledge,Football,The Guardian,2024-07-31 07:00:17+0000
Who replaces Southgate and early pre-season predictions – Football Weekly podcast,https://www.theguardian.com/football/audio/2024/jul/29/early-predictions-for-2024-25-and-who-replaces-southgate-football-weekly-podcast,Football,The Guardian,2024-07-29 11:20:42+0000
The 100 best male footballers in the world 2023,https://www.theguardian.com/football/ng-interactive/2023/dec/19/the-100-best-male-footballers-in-the-world-2023,Football,The Guardian,2023-12-22 10:12:08+0000
The 100 best female footballers in the world 2023,https://www.theguardian.com/football/ng-interactive/2024/jan/09/the-100-best-female-footballers-in-the-world-2023,Football,The Guardian,2024-01-12 10:10:57+0000
Erling Haaland voted the world’s best player – and he’s just getting started | Niall McVeigh,https://www.theguardian.com/football/2023/dec/22/erling-haaland-manchester-city-top-100-analysis,Football,The Guardian,2023-12-22 17:30:01+0000
Spain and Barcelona lead way in women’s football after year of success | Rich Laverty,https://www.theguardian.com/football/2024/jan/12/spain-barcelona-lead-way-in-womens-football-top-100,Football,The Guardian,2024-01-12 10:27:25+0000
A summer transfer target for each Premier League club: part one,https://www.theguardian.com/football/who-scored-blog/article/2024/aug/07/summer-transfer-target-each-premier-league-club-ipswich-arsenal,Football,The Guardian,2024-08-07 07:00:55+0000
Manchester City devour another trophy but there is no sign of United’s doughnut | Jonathan Wilson,https://www.theguardian.com/football/article/2024/aug/10/manchester-city-manchester-united-community-shield-premier-league,Football,The Guardian,2024-08-10 17:28:48+0000
‘I’m proud of my journey’: Remi Allen on becoming Southampton’s manager at 33,https://www.theguardian.com/football/article/2024/aug/06/remi-allen-southampton-manager-womens-championship,Football,The Guardian,2024-08-06 12:59:10+0000
Erik ten Hag: ‘I don’t need a longer contract. I don’t need that security’,https://www.theguardian.com/football/article/2024/aug/02/erik-ten-hag-manchester-united-contract-ineos-rashford-injuries,Football,The Guardian,2024-08-02 08:00:26+0000
Next Generation 2023: 60 of the best young talents in world football,https://www.theguardian.com/football/ng-interactive/2023/oct/11/next-generation-2023-60-of-the-best-young-talents-in-world-football,Football,The Guardian,2023-10-11 11:00:38+0000
Next Generation 2023: 20 of the best talents at Premier League clubs,https://www.theguardian.com/football/ng-interactive/2023/oct/10/next-generation-2023-20-of-the-best-talents-at-premier-league-clubs,Football,The Guardian,2023-10-10 15:12:28+0000
From Saka to Ackermann: what happened to Next Generation 2018?,https://www.theguardian.com/football/2023/oct/09/saka-ackermann-what-happened-to-next-generation-2018,Football,The Guardian,2023-10-09 11:43:53+0000
Next Generation 2022: Why scouts select players based on ‘the relative age effect’,https://www.theguardian.com/football/blog/2022/oct/24/next-generation-2022-why-scouts-select-players-based-on-the-relative-age-effect,Football,The Guardian,2022-10-24 07:00:01+0000
"Exclusive: Magnussen has no regrets about ""wild and exciting"" F1 comeback",https://www.autosport.com/f1/news/magnussen-has-no-regrets-about-wild-and-exciting-f1-comeback/10643974/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-13 15:16:52+0000
JA on F1 Podcast: Collins urges McLaren to ditch strategy calls by committee,https://www.autosport.com/f1/news/ja-on-f1-podcast-collins-urges-mclaren-to-ditch-committee-strategy-calls-and-be-more-direct/10643987/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-13 11:31:44+0000
Exclusive: Albon seeing Williams’ long-term progress,https://www.autosport.com/f1/news/exclusive-albon-seeing-williams-long-term-progress/10643888/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-13 10:00:13+0000
"F1 a ""closed chapter"" for Porsche after failed Red Bull bid",https://www.autosport.com/f1/news/f1-a-closed-chapter-for-porsche-after-failed-red-bull-bid/10644060/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-13 09:19:29+0000
Exclusive: Can McLaren's culture survive two number one drivers?,https://www.autosport.com/f1/news/exclusive-can-mclarens-culture-survive-two-number-one-drivers/10643870/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-13 08:07:57+0000
Exclusive: Leclerc: Bouncing has disguised Ferrari’s genuine progress,https://www.autosport.com/f1/news/leclerc-bouncing-has-disguised-ferraris-genuine-progress/10643907/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-12 14:47:08+0000
"Exclusive: The ""circle"" Ocon needs at Haas after being ignored at Alpine",https://www.autosport.com/f1/news/exclusive-the-circle-ocon-needs-at-haas-after-being-ignored-at-alpine/10643621/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-12 12:05:39+0000
Exclusive: What more can Red Bull do to help Sergio Perez?,https://www.autosport.com/f1/news/exclusive-what-more-can-red-bull-do-to-help-sergio-perez/10643612/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-12 08:07:12+0000
Exclusive: How RB wants to pick up Red Bull's baton as F1's fun team,https://www.autosport.com/f1/news/how-rb-wants-to-pick-up-red-bulls-baton-as-f1s-fun-team/10643335/?utm_source=RSS&utm_medium=referral&utm_campaign=RSS-F1&utm_term=News&utm_content=uk,Formula 1,Autosport,2024-08-11 15:08:18+0000
